Facility ID,Facility Name,State,FISCAL YEAR,DOMAIN 1 SCORE,DOMAIN 1 FOOTNOTE,DOMAIN 1 START DATE,DOMAIN 1 END DATE,PSI 90 W Z Score,PSI 90 FOOTNOTE,DOMAIN 2 SCORE,DOMAIN 2 FOOTNOTE,CLABSI W Z SCORE,CLABSI FOOTNOTE,CAUTI W Z SCORE,CAUTI FOOTNOTE,SSI W Z SCORE,SSI FOOTNOTE,MRSA W Z SCORE,MRSA FOOTNOTE,CDI W Z SCORE,CDI FOOTNOTE,DOMAIN 2 START DATE,DOMAIN 2 END DATE,TOTAL HAC SCORE,TOTAL HAC FOOTNOTE,PAYMENT REDUCTION,PAYMENT REDUCTION FOOTNOTE
360179,BETHESDA NORTH,OH,2019,0.5219,,10/01/2015,06/30/2017,0.5219,,0.0096,,-1.0243,,-0.8538,,1.7567,,-0.1465,,0.3161,,01/01/2016,12/31/2017,0.0865,,No,
450686,UNIVERSITY MEDICAL CENTER,TX,2019,0.0394,,10/01/2015,06/30/2017,0.0394,,0.0652,,0.128,,-0.2607,,-0.3223,,-0.0629,,0.8438,,01/01/2016,12/31/2017,0.0613,,No,
010139,BROOKWOOD BAPTIST MEDICAL CENTER,AL,2019,-0.4216,,10/01/2015,06/30/2017,-0.4216,,0.0875,,1.5019,,0.2138,,-0.5883,,0.1378,,-0.8278,,01/01/2016,12/31/2017,0.0111,,No,
440082,SAINT THOMAS WEST HOSPITAL,TN,2019,-1.2445,,10/01/2015,06/30/2017,-1.2445,,0.3714,,-0.3226,,0.2992,,0.7621,,0.6695,,0.4487,,01/01/2016,12/31/2017,0.129,,No,
490112,CJW MEDICAL CENTER,VA,2019,1.6431,,10/01/2015,06/30/2017,1.6431,,0.3012,,0.4974,,1.2622,,-0.1058,,-0.6213,,0.4736,,01/01/2016,12/31/2017,0.5025,,Yes,
030012,YAVAPAI REGIONAL MEDICAL CENTER,AZ,2019,-0.5007,,10/01/2015,06/30/2017,-0.5007,,-0.4096,,-0.8655,,-0.3706,,-0.1902,,-1.4406,,0.8189,,01/01/2016,12/31/2017,-0.4233,,No,
140250,ADVOCATE SOUTH SUBURBAN HOSPITAL,IL,2019,0.2363,,10/01/2015,06/30/2017,0.2363,,-0.2528,,-0.5479,,-0.3253,,-0.4709,,-1.4406,,1.5207,,01/01/2016,12/31/2017,-0.1794,,No,
530012,WYOMING MEDICAL CENTER,WY,2019,-0.6087,,10/01/2015,06/30/2017,-0.6087,,-0.5147,,-1.4878,,-1.1295,,0.6172,,0.0859,,-0.6593,,01/01/2016,12/31/2017,-0.5288,,No,
220024,HOLYOKE MEDICAL CENTER,MA,2019,-0.8674,,10/01/2015,06/30/2017,-0.8674,,-0.5482,,-1.4878,,0.7946,,-0.9003,,0.208,,-1.3556,,01/01/2016,12/31/2017,-0.5961,,No,
180011,SAINT JOSEPH LONDON,KY,2019,-0.7629,,10/01/2015,06/30/2017,-0.7629,,-0.1092,,-0.3096,,0.2225,,-1.4966,,1.462,,-0.4244,,01/01/2016,12/31/2017,-0.2073,,No,
