Facility ID,Facility Name,Address,City,State,ZIP Code,County Name,MSPB-1 Achievement Threshold,MSPB-1 Benchmark,MSPB-1 Baseline Rate,MSPB-1 Performance Rate,MSPB-1 Achievement Points,MSPB-1 Improvement Points,MSPB-1 Measure Score,Location
050488,EDEN MEDICAL CENTER,20103 LAKE CHABOT ROAD,CASTRO VALLEY,CA,94546,Alameda,0.986935,0.839602,1.050021,1.037675,0 out of 10,0 out of 9,0 out of 10,"20103 LAKE CHABOT ROAD CASTRO VALLEY, CA 94546"
230132,HURLEY MEDICAL CENTER,ONE HURLEY PLAZA,FLINT,MI,48503,Genesee,0.986935,0.839602,0.968429,0.980639,1 out of 10,0 out of 9,1 out of 10,"ONE HURLEY PLAZA FLINT, MI 48503"
250084,MERIT HEALTH NATCHEZ,52 SERGEANT PRENTISS DRIVE,NATCHEZ,MS,39120,Adams,0.986935,0.839602,1.157678,1.142454,0 out of 10,0 out of 9,0 out of 10,"52 SERGEANT PRENTISS DRIVE NATCHEZ, MS 39120"
200033,EASTERN MAINE MEDICAL CENTER,PO BOX 404,BANGOR,ME,04401,Penobscot,0.986935,0.839602,1.028043,1.018945,0 out of 10,0 out of 9,0 out of 10,"PO BOX 404 BANGOR, ME 04401"
390013,EVANGELICAL COMMUNITY HOSPITAL,ONE HOSPITAL DRIVE,LEWISBURG,PA,17837,Union,0.986935,0.839602,0.939605,0.936469,4 out of 10,0 out of 9,4 out of 10,"ONE HOSPITAL DRIVE LEWISBURG, PA 17837"
140147,RICHLAND MEMORIAL HOSPITAL,800 EAST LOCUST,OLNEY,IL,62450,Richland,0.986935,0.839602,0.958887,0.987884,0 out of 10,0 out of 9,0 out of 10,"800 EAST LOCUST OLNEY, IL 62450 (38.735021, -88.077125)"
100209,KENDALL REGIONAL MEDICAL CENTER,11750 BIRD RD,MIAMI,FL,33175,Miami-Dade,0.986935,0.839602,0.990856,1.024327,0 out of 10,0 out of 9,0 out of 10,"11750 BIRD RD MIAMI, FL 33175"
520028,THE MONROE CLINIC,2005 5TH STREET,MONROE,WI,53566,Green,0.986935,0.839602,0.917765,0.909413,5 out of 10,1 out of 9,5 out of 10,"2005 5TH STREET MONROE, WI 53566 (42.607807, -89.634574)"
390163,ACMH HOSPITAL,ONE NOLTE DRIVE,KITTANNING,PA,16201,Armstrong,0.986935,0.839602,0.943174,0.949435,3 out of 10,0 out of 9,3 out of 10,"ONE NOLTE DRIVE KITTANNING, PA 16201"
330024,MOUNT SINAI HOSPITAL,ONE GUSTAVE L LEVY PLACE,NEW YORK,NY,10029,New York,0.986935,0.839602,0.974382,0.980605,1 out of 10,0 out of 9,1 out of 10,"ONE GUSTAVE L LEVY PLACE NEW YORK, NY 10029"
030011,ST JOSEPH'S HOSPITAL,350 NORTH WILMOT ROAD,TUCSON,AZ,85711,Pima,0.986935,0.839602,1.009417,1.025668,0 out of 10,0 out of 9,0 out of 10,"350 NORTH WILMOT ROAD TUCSON, AZ 85711 (32.225946, -110.857838)"
