Facility ID,Facility Name,Address,City,State,ZIP Code,County Name,Communication with Nurses Floor,Communication with Nurses Achievement Threshold,Communication with Nurses Benchmark,Communication with Nurses Baseline Rate,Communication with Nurses Performance Rate,Communication with Nurses Achievement Points,Communication with Nurses Improvement Points,Communication with Nurses Dimension Score,Communication with Doctors Floor,Communication with Doctors Achievement Threshold,Communication with Doctors Benchmark,Communication with Doctors Baseline Rate,Communication with Doctors Performance Rate,Communication with Doctors Achievement Points,Communication with Doctors Improvement Points,Communication with Doctors Dimension Score,Responsiveness of Hospital Staff Floor,Responsiveness of Hospital Staff Achievement Threshold,Responsiveness of Hospital Staff Benchmark,Responsiveness of Hospital Staff Baseline Rate,Responsiveness of Hospital Staff Performance Rate,Responsiveness of Hospital Staff Achievement Points,Responsiveness of Hospital Staff Improvement Points,Responsiveness of Hospital Staff Dimension Score,Care Transition Floor,Care Transition Achievement Threshold,Care Transition Benchmark,Care Transition Baseline Rate,Care Transition Performance Rate,Care Transition Achievement Points,Care Transition Improvement Points,Care Transition Dimension Score,Communication about Medicines Floor,Communication about Medicines Achievement Threshold,Communication about Medicines Benchmark,Communication about Medicines Baseline Rate,Communication about Medicines Performance Rate,Communication about Medicines Achievement Points,Communication about Medicines Improvement Points,Communication about Medicines Dimension Score,Cleanliness and Quietness of Hospital Environment Floor,Cleanliness and Quietness of Hospital Environment Achievement Threshold,Cleanliness and Quietness of Hospital Environment Benchmark,Cleanliness and Quietness of Hospital Environment Baseline Rate,Cleanliness and Quietness of Hospital Environment Performance Rate,Cleanliness and Quietness of Hospital Environment Achievement Points,Cleanliness and Quietness of Hospital Environment Improvement Points,Cleanliness and Quietness of Hospital Environment Dimension Score,Discharge Information Floor,Discharge Information Achievement Threshold,Discharge Information Benchmark,Discharge Information Baseline Rate,Discharge Information Performance Rate,Discharge Information Achievement Points,Discharge Information Improvement Points,Discharge Information Dimension Score,Overall Rating of Hospital Floor,Overall Rating of Hospital Achievement Threshold,Overall Rating of Hospital Benchmark,Overall Rating of Hospital Baseline Rate,Overall Rating of Hospital Performance Rate,Overall  Rating of Hospital Achievement Points,Overall Rating of Hospital Improvement Points,Overall Rating of Hospital Dimension Score,HCAHPS Base Score,HCAHPS Consistency Score,Location
500152,SWEDISH ISSAQUAH,751 NE BLAKELY DR,ISSAQUAH,WA,98029,King,28.10,78.69,86.97,77.03,77.98,0 out of 10,0 out of 9,0 out of 10,33.46,80.32,88.62,82.55,80.54,1 out of 10,0 out of 9,1 out of 10,32.72,65.16,80.15,65.28,64.52,0 out of 10,0 out of 9,0 out of 10,11.30,51.42,62.77,52.43,52.16,1 out of 10,0 out of 9,1 out of 10,11.38,63.26,73.53,60.43,62.98,0 out of 10,1 out of 9,1 out of 10,22.85,65.58,79.06,68.45,65.52,0 out of 10,0 out of 9,0 out of 10,61.96,87.05,91.87,85.38,84.24,0 out of 10,0 out of 9,0 out of 10,28.39,70.85,84.83,78.85,76.92,4 out of 10,0 out of 9,4 out of 10,7,17,"751 NE BLAKELY DR ISSAQUAH, WA 98029 (47.536553, -122.02205)"
010112,BRYAN W. WHITFIELD MEMORIAL HOSPITAL,105 HIGHWAY 80 EAST,DEMOPOLIS,AL,36732,Marengo,28.10,78.69,86.97,81.76,80.74,3 out of 10,0 out of 9,3 out of 10,33.46,80.32,88.62,84.78,86.94,8 out of 10,5 out of 9,8 out of 10,32.72,65.16,80.15,64.26,72.09,5 out of 10,4 out of 9,5 out of 10,11.30,51.42,62.77,48.61,47.55,0 out of 10,0 out of 9,0 out of 10,11.38,63.26,73.53,68.78,64.31,1 out of 10,0 out of 9,1 out of 10,22.85,65.58,79.06,75.75,72.02,5 out of 10,0 out of 9,5 out of 10,61.96,87.05,91.87,74.19,77.08,0 out of 10,1 out of 9,1 out of 10,28.39,70.85,84.83,64.36,55.33,0 out of 10,0 out of 9,0 out of 10,23,12,"105 HIGHWAY 80 EAST DEMOPOLIS, AL 36732 (32.503676, -87.836744)"
450351,TEXAS HEALTH HARRIS METHODIST HOSPITAL STEPHENVILL,411 N BELKNAP ST,STEPHENVILLE,TX,76401,Erath,28.10,78.69,86.97,87.45,86.22,9 out of 10,0 out of 9,9 out of 10,33.46,80.32,88.62,91.05,88.21,9 out of 10,0 out of 9,9 out of 10,32.72,65.16,80.15,76.42,74.70,6 out of 10,0 out of 9,6 out of 10,11.30,51.42,62.77,60.11,59.35,7 out of 10,0 out of 9,7 out of 10,11.38,63.26,73.53,73.95,72.13,8 out of 10,0 out of 9,8 out of 10,22.85,65.58,79.06,77.94,75.92,7 out of 10,0 out of 9,7 out of 10,61.96,87.05,91.87,90.89,92.18,10 out of 10,9 out of 9,10 out of 10,28.39,70.85,84.83,81.34,78.70,6 out of 10,0 out of 9,6 out of 10,62,20,"411 N BELKNAP ST STEPHENVILLE, TX 76401 (32.223163, -98.204871)"
140052,OSF SAINT ANTHONY'S HEALTH CENTER,ST ANTHONY'S WAY,ALTON,IL,62002,Madison,28.10,78.69,86.97,82.56,81.04,3 out of 10,0 out of 9,3 out of 10,33.46,80.32,88.62,81.60,82.28,3 out of 10,0 out of 9,3 out of 10,32.72,65.16,80.15,67.86,64.90,0 out of 10,0 out of 9,0 out of 10,11.30,51.42,62.77,49.50,49.54,0 out of 10,0 out of 9,0 out of 10,11.38,63.26,73.53,64.41,64.50,2 out of 10,0 out of 9,2 out of 10,22.85,65.58,79.06,68.34,65.44,0 out of 10,0 out of 9,0 out of 10,61.96,87.05,91.87,90.11,87.04,0 out of 10,0 out of 9,0 out of 10,28.39,70.85,84.83,77.05,75.17,3 out of 10,0 out of 9,3 out of 10,11,19,"ST ANTHONY'S WAY ALTON, IL 62002"
340145,CAROLINAS HEALTHCARE SYSTEM LINCOLN,433 MCALISTER RD,LINCOLNTON,NC,28092,Lincoln,28.10,78.69,86.97,81.61,81.80,4 out of 10,0 out of 9,4 out of 10,33.46,80.32,88.62,83.32,83.79,4 out of 10,0 out of 9,4 out of 10,32.72,65.16,80.15,66.01,64.76,0 out of 10,0 out of 9,0 out of 10,11.30,51.42,62.77,58.63,54.34,3 out of 10,0 out of 9,3 out of 10,11.38,63.26,73.53,69.95,66.52,3 out of 10,0 out of 9,3 out of 10,22.85,65.58,79.06,71.43,74.23,6 out of 10,3 out of 9,6 out of 10,61.96,87.05,91.87,89.88,88.37,3 out of 10,0 out of 9,3 out of 10,28.39,70.85,84.83,75.45,76.32,4 out of 10,0 out of 9,4 out of 10,27,19,"433 MCALISTER RD LINCOLNTON, NC 28092 (35.488387, -81.201314)"
450128,KNAPP MEDICAL CENTER,1401 EAST EIGHT STREET,WESLACO,TX,78596,Hidalgo,28.10,78.69,86.97,71.58,73.60,0 out of 10,1 out of 9,1 out of 10,33.46,80.32,88.62,74.19,75.84,0 out of 10,1 out of 9,1 out of 10,32.72,65.16,80.15,55.15,65.45,1 out of 10,4 out of 9,4 out of 10,11.30,51.42,62.77,46.08,39.79,0 out of 10,0 out of 9,0 out of 10,11.38,63.26,73.53,64.58,63.08,0 out of 10,0 out of 9,0 out of 10,22.85,65.58,79.06,65.06,69.81,3 out of 10,3 out of 9,3 out of 10,61.96,87.05,91.87,81.52,81.10,0 out of 10,0 out of 9,0 out of 10,28.39,70.85,84.83,60.35,65.14,0 out of 10,1 out of 9,1 out of 10,10,14,"1401 EAST EIGHT STREET WESLACO, TX 78596 (26.151972, -97.977581)"
520107,HOLY FAMILY MEMORIAL,2300 WESTERN AVE,MANITOWOC,WI,54221,Manitowoc,28.10,78.69,86.97,76.49,77.48,0 out of 10,0 out of 9,0 out of 10,33.46,80.32,88.62,83.24,78.78,0 out of 10,0 out of 9,0 out of 10,32.72,65.16,80.15,61.86,62.93,0 out of 10,0 out of 9,0 out of 10,11.30,51.42,62.77,52.48,48.72,0 out of 10,0 out of 9,0 out of 10,11.38,63.26,73.53,63.68,62.85,0 out of 10,0 out of 9,0 out of 10,22.85,65.58,79.06,65.40,61.64,0 out of 10,0 out of 9,0 out of 10,61.96,87.05,91.87,88.71,87.85,2 out of 10,0 out of 9,2 out of 10,28.39,70.85,84.83,71.54,65.08,0 out of 10,0 out of 9,0 out of 10,2,17,"2300 WESTERN AVE MANITOWOC, WI 54221 (44.09441, -87.676865)"
100127,MORTON PLANT HOSPITAL,300 PINELLAS ST,CLEARWATER,FL,33756,Pinellas,28.10,78.69,86.97,81.41,81.76,4 out of 10,0 out of 9,4 out of 10,33.46,80.32,88.62,78.14,79.13,0 out of 10,0 out of 9,0 out of 10,32.72,65.16,80.15,68.54,67.03,2 out of 10,0 out of 9,2 out of 10,11.30,51.42,62.77,56.82,56.38,4 out of 10,0 out of 9,4 out of 10,11.38,63.26,73.53,64.41,65.70,3 out of 10,1 out of 9,3 out of 10,22.85,65.58,79.06,61.85,62.46,0 out of 10,0 out of 9,0 out of 10,61.96,87.05,91.87,87.72,89.03,4 out of 10,3 out of 9,4 out of 10,28.39,70.85,84.83,77.20,77.62,5 out of 10,0 out of 9,5 out of 10,22,18,"300 PINELLAS ST CLEARWATER, FL 33756 (27.951912, -82.803874)"
260001,MERCY HOSPITAL JOPLIN,100 MERCY WAY,JOPLIN,MO,64804,Jasper,28.10,78.69,86.97,77.44,76.41,0 out of 10,0 out of 9,0 out of 10,33.46,80.32,88.62,79.22,76.67,0 out of 10,0 out of 9,0 out of 10,32.72,65.16,80.15,58.69,61.55,0 out of 10,1 out of 9,1 out of 10,11.30,51.42,62.77,55.63,53.68,2 out of 10,0 out of 9,2 out of 10,11.38,63.26,73.53,63.19,62.62,0 out of 10,0 out of 9,0 out of 10,22.85,65.58,79.06,65.49,65.32,0 out of 10,0 out of 9,0 out of 10,61.96,87.05,91.87,89.32,87.24,1 out of 10,0 out of 9,1 out of 10,28.39,70.85,84.83,71.58,76.28,4 out of 10,3 out of 9,4 out of 10,8,17,"100 MERCY WAY JOPLIN, MO 64804 (37.034697, -94.511799)"
450051,METHODIST DALLAS MEDICAL CENTER,1441 NORTH BECKLEY AVENUE,DALLAS,TX,75203,Dallas,28.10,78.69,86.97,78.89,79.43,1 out of 10,0 out of 9,1 out of 10,33.46,80.32,88.62,78.02,80.46,1 out of 10,2 out of 9,2 out of 10,32.72,65.16,80.15,63.39,66.72,1 out of 10,1 out of 9,1 out of 10,11.30,51.42,62.77,51.45,56.01,4 out of 10,4 out of 9,4 out of 10,11.38,63.26,73.53,64.06,65.86,3 out of 10,1 out of 9,3 out of 10,22.85,65.58,79.06,65.37,70.46,4 out of 10,3 out of 9,4 out of 10,61.96,87.05,91.87,85.20,83.56,0 out of 10,0 out of 9,0 out of 10,28.39,70.85,84.83,74.35,74.38,3 out of 10,0 out of 9,3 out of 10,18,17,"1441 NORTH BECKLEY AVENUE DALLAS, TX 75203 (32.761639, -96.823006)"
